,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./GHS_psdef/bmw7st_1/bmw7st_1.mtx,0.00038371,0.00037411,0.00012239,0.00011792,0.00017686,0.00017284,0.0001291,0.00011818,0.00034995,0.00033221,0.0001106,0.00010282,0.00033954,0.00032242,0.00027943,0.0003225
./GHS_psdef/hood/hood.mtx,0.00073382,0.00054439,0.00038994,0.00017831,0.00025213,0.00021915,0.00021626,0.0001828,0.00063281,0.00051285,0.00025082,0.00020889,0.00063849,0.00047475,0.00051562,0.00044018
./DNVS/m_t1/m_t1.mtx,0.00058073,0.00055764,0.00019454,0.00019372,0.00022194,0.00022024,0.00017508,0.00017575,0.00054776,0.00054588,0.0001939,0.00018553,0.00050278,0.00049828,0.00033731,0.00036426
./GHS_psdef/oilpan/oilpan.mtx,0.00016168,0.00016186,6.326E-05,6.334E-05,9.893E-05,0.00010538,4.228E-05,4.291E-05,0.00013244,0.00013555,4.756E-05,4.726E-05,0.00016044,0.00015331,0.00021206,0.00020925
./GHS_psdef/opt1/opt1.mtx,6.372E-05,5.998E-05,2.692E-05,2.674E-05,2.414E-05,3.451E-05,1.999E-05,3.205E-05,5.196E-05,4.671E-05,2.069E-05,1.899E-05,5.339E-05,5.053E-05,5.491E-05,5.689E-05
./GHS_psdef/ramage02/ramage02.mtx,8.996E-05,9.38E-05,3.776E-05,3.709E-05,3.443E-05,3.675E-05,2.498E-05,2.491E-05,6.982E-05,7.498E-05,2.815E-05,2.729E-05,8.123E-05,7.419E-05,0.00017718,0.00017214
./GHS_psdef/s3dkq4m2/s3dkq4m2.mtx,0.00020996,0.00021045,7.793E-05,8.009E-05,0.0001308,0.0001274,5.052E-05,5.123E-05,0.00017761,0.00017659,6.363E-05,6.334E-05,0.00020636,0.00019896,0.00011083,0.0001096
./GHS_psdef/s3dkt3m2/s3dkt3m2.mtx,0.00016392,0.00016358,6.421E-05,6.596E-05,0.00010445,0.00010575,4.363E-05,4.457E-05,0.00014006,0.00013899,4.921E-05,4.931E-05,0.00016683,0.00016253,0.00021025,0.00021274
./DNVS/ship_001/ship_001.mtx,0.00029417,0.00026171,0.00010117,9.276E-05,0.00014038,0.00013072,6.145E-05,5.782E-05,0.00025617,0.00022193,9.528E-05,8.543E-05,0.00023268,0.00021088,0.00023523,0.00022134
./DNVS/ship_003/ship_003.mtx,0.00043084,0.00043206,0.00014156,0.00013483,0.00018282,0.00018174,0.00014396,0.00014552,0.00041092,0.00040937,0.00012489,0.00012437,0.00038547,0.00037114,0.00034893,0.00033994
